mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
419322000,SAMUDRA SHAUDHIKAMA,IND,india_mangalore_dec2025_jan2026,2025-12-04 08:00:00+00:00,2025-12-08 11:00:00+00:00,99.0,100,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
215622000,TAXIDIARA,MLT,india_mangalore_dec2025_jan2026,2025-12-29 16:00:00+00:00,2026-01-02 15:00:00+00:00,95.0,96,1.0,12.93,74.8199,1.073,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
419000117,DOLPHIN NO.2,IND,india_mangalore_dec2025_jan2026,2026-01-10 07:00:00+00:00,2026-01-14 06:00:00+00:00,95.0,95,0.99,12.92274,74.81021,3.372,extended,open_water,Jamnagar (Sikka) marine terminal,1186.39,False,False,3,,False
419000274,OCEAN HARMONY,IND,india_mangalore_dec2025_jan2026,2025-12-02 09:00:00+00:00,2025-12-06 08:00:00+00:00,95.0,96,1.0,12.9375,74.81865,2.805,extended,open_water,Jamnagar (Sikka) marine terminal,1185.33,False,False,3,,False
419001746,SARATHI,IND,india_mangalore_dec2025_jan2026,2025-12-14 12:00:00+00:00,2025-12-18 06:00:00+00:00,90.0,91,1.0,12.93846,74.81835,4.636,extended,open_water,Jamnagar (Sikka) marine terminal,1185.22,False,False,3,,False
667001608,CHONGCHON,SLE,india_mangalore_dec2025_jan2026,2025-12-06 06:00:00+00:00,2025-12-10 00:00:00+00:00,90.0,91,1.0,12.96011,74.65945,1.503,extended,open_water,Jamnagar (Sikka) marine terminal,1175.49,False,False,3,,False
419000533,OCEAN ENDURANCE,IND,india_mangalore_dec2025_jan2026,2025-12-13 12:00:00+00:00,2025-12-17 05:00:00+00:00,89.0,88,0.978,12.92216,74.81068,2.226,extended,open_water,Jamnagar (Sikka) marine terminal,1186.47,False,False,3,,False
419001654,KAVIRAJ,IND,india_mangalore_dec2025_jan2026,2025-12-16 06:00:00+00:00,2025-12-19 23:00:00+00:00,89.0,90,1.0,12.91711,74.67533,3.34,extended,open_water,Jamnagar (Sikka) marine terminal,1180.55,False,False,3,,False
563105200,CHEM GUARD,SGP,india_mangalore_dec2025_jan2026,2025-12-11 16:00:00+00:00,2025-12-15 08:00:00+00:00,88.0,76,0.854,12.92013,74.81,1.097,extended,open_water,Jamnagar (Sikka) marine terminal,1186.64,False,False,3,,False
414071000,GUO YUAN 18,CHN,india_mangalore_dec2025_jan2026,2025-12-11 19:00:00+00:00,2025-12-15 10:00:00+00:00,87.0,88,1.0,13.0,74.59204,1.407,extended,open_water,Jamnagar (Sikka) marine terminal,1168.34,False,False,3,,False
419000177,VISHVA BANDHAN,IND,india_mangalore_dec2025_jan2026,2025-12-01 00:00:00+00:00,2025-12-04 15:00:00+00:00,87.0,88,1.0,12.92989,74.81955,4.425,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
